3.144932746887207031e+00,8.444511413574218750e+00
2.505551099777221680e+00,8.868095397949218750e+00
4.046955585479736328e+00,8.152821540832519531e+00
5.101468563079833984e+00,1.037540149688720703e+01
1.052631735801696777e+00,1.089915752410888672e+01
3.280399799346923828e+00,1.310484981536865234e+01
1.391091704368591309e+00,1.162592506408691406e+01
5.620066642761230469e+00,8.438791275024414062e+00
2.391427516937255859e+00,8.749687194824218750e+00
4.072096824645996094e+00,1.075434494018554688e+01
3.197978258132934570e+00,8.535680770874023438e+00
3.218451738357543945e+00,7.418611049652099609e+00
2.098616361618041992e+00,7.391183853149414062e+00
2.191065311431884766e+00,1.064739227294921875e+01
3.802325248718261719e+00,7.852672576904296875e+00
1.753676533699035645e+00,9.915642738342285156e+00
3.454682826995849609e+00,7.400120258331298828e+00
2.609113931655883789e+00,1.302245807647705078e+01
7.416357517242431641e+00,9.858155250549316406e+00
7.630645036697387695e-01,1.136048221588134766e+01
4.805806636810302734e+00,9.650884628295898438e+00
7.967995166778564453e+00,9.869876861572265625e+00
2.748146533966064453e+00,9.017774581909179688e+00
3.049155950546264648e+00,1.067562007904052734e+01
6.875150203704833984e+00,9.127606391906738281e+00
5.118488311767578125e+00,9.111979484558105469e+00
5.452468872070312500e+00,8.730422973632812500e+00
7.803771495819091797e+00,1.007649230957031250e+01
2.328118801116943359e+00,1.303796291351318359e+01
2.132102489471435547e+00,1.067878818511962891e+01
1.977292060852050781e+00,1.265257835388183594e+01
2.052840948104858398e+00,1.278036689758300781e+01
3.666445970535278320e+00,8.392964363098144531e+00
2.347530841827392578e+00,1.131894397735595703e+01
2.975654363632202148e+00,1.324837970733642578e+01
2.804271697998046875e+00,7.951387882232666016e+00
3.770938873291015625e+00,1.070491981506347656e+01
3.422092914581298828e+00,1.309885406494140625e+01
1.219453096389770508e+00,1.025596427917480469e+01
2.736889600753784180e+00,1.239847278594970703e+01
2.407607555389404297e+00,8.800897598266601562e+00
2.445280075073242188e+00,1.087073802947998047e+01
2.882663965225219727e+00,1.251950359344482422e+01
3.447535514831542969e+00,1.291642856597900391e+01
7.816700935363769531e+00,1.017695808410644531e+01
3.056990623474121094e+00,8.898358345031738281e+00
5.277192592620849609e+00,8.835894584655761719e+00
7.366888523101806641e+00,1.043620395660400391e+01
4.629845142364501953e+00,7.871132373809814453e+00
2.406459331512451172e+00,1.304163551330566406e+01
6.676852226257324219e+00,9.196153640747070312e+00
5.726589202880859375e+00,9.606654167175292969e+00
